,기간,지역,환자수
0,2009,계,24096.0
1,2009,서울,7292.0
2,2009,부산,1269.0
3,2009,대구,999.0
4,2009,인천,1015.0
5,2009,광주,511.0
6,2009,대전,651.0
7,2009,울산,424.0
8,2009,경기,5040.0
9,2009,강원,621.0
10,2009,충북,646.0
11,2009,충남,998.0
12,2009,전북,799.0
13,2009,전남,999.0
14,2009,경북,1250.0
15,2009,경남,1377.0
16,2009,제주,200.0
17,2009,기타,5.0
18,2010,계,27851.0
19,2010,서울,5615.0
20,2010,부산,1711.0
21,2010,대구,1274.0
22,2010,인천,1174.0
23,2010,광주,687.0
24,2010,대전,720.0
25,2010,울산,451.0
26,2010,경기,6081.0
27,2010,강원,911.0
28,2010,충북,912.0
29,2010,충남,1445.0
30,2010,전북,1310.0
31,2010,전남,1565.0
32,2010,경북,1862.0
33,2010,경남,1852.0
34,2010,제주,274.0
35,2010,기타,7.0
36,2011,계,32613.0
37,2011,서울,6635.0
38,2011,부산,1988.0
39,2011,대구,1538.0
40,2011,인천,1430.0
41,2011,광주,782.0
42,2011,대전,838.0
43,2011,울산,542.0
44,2011,경기,7158.0
45,2011,강원,1079.0
46,2011,충북,1096.0
47,2011,충남,1673.0
48,2011,전북,1485.0
49,2011,전남,1752.0
50,2011,경북,2183.0
51,2011,경남,2090.0
52,2011,제주,344.0
53,2011,기타,
54,2012,계,42816.0
55,2012,서울,8415.0
56,2012,부산,2696.0
57,2012,대구,2045.0
58,2012,인천,1943.0
59,2012,광주,1049.0
60,2012,대전,1074.0
61,2012,울산,725.0
62,2012,세종,113.0
63,2012,경기,9155.0
64,2012,강원,1459.0
65,2012,충북,1466.0
66,2012,충남,2128.0
67,2012,전북,2008.0
68,2012,전남,2344.0
69,2012,경북,2913.0
70,2012,경남,2771.0
71,2012,제주,496.0
72,2012,기타,16.0
73,2013,계,47770.0
74,2013,서울,9393.0
75,2013,부산,3020.0
76,2013,대구,2253.0
77,2013,인천,2162.0
78,2013,광주,1146.0
79,2013,대전,1211.0
80,2013,울산,821.0
81,2013,세종,127.0
82,2013,경기,10285.0
83,2013,강원,1675.0
84,2013,충북,1621.0
85,2013,충남,2398.0
86,2013,전북,2201.0
87,2013,전남,2591.0
88,2013,경북,3199.0
89,2013,경남,3103.0
90,2013,제주,557.0
91,2013,기타,7.0
92,2014,계,52492.0
93,2014,서울,10356.0
94,2014,부산,3269.0
95,2014,대구,2457.0
96,2014,인천,2381.0
97,2014,광주,1263.0
98,2014,대전,1370.0
99,2014,울산,919.0
100,2014,세종,167.0
101,2014,경기,11383.0
102,2014,강원,1841.0
103,2014,충북,1766.0
104,2014,충남,2565.0
105,2014,전북,2453.0
106,2014,전남,2794.0
107,2014,경북,3544.0
108,2014,경남,3335.0
109,2014,제주,619.0
110,2014,기타,10.0
111,2015,계,57708.0
112,2015,서울,11300.0
113,2015,부산,3604.0
114,2015,대구,2697.0
115,2015,인천,2703.0
116,2015,광주,1383.0
117,2015,대전,1464.0
118,2015,울산,1059.0
119,2015,세종,226.0
120,2015,경기,12637.0
121,2015,강원,2051.0
122,2015,충북,1923.0
123,2015,충남,2801.0
124,2015,전북,2629.0
125,2015,전남,3040.0
126,2015,경북,3788.0
127,2015,경남,3719.0
128,2015,제주,676.0
129,2015,기타,8.0
130,2016,계,63991.0
131,2016,서울,12334.0
132,2016,부산,4001.0
133,2016,대구,2968.0
134,2016,인천,2976.0
135,2016,광주,1559.0
136,2016,대전,1661.0
137,2016,울산,1221.0
138,2016,세종,274.0
139,2016,경기,14483.0
140,2016,강원,2245.0
141,2016,충북,2183.0
142,2016,충남,3109.0
143,2016,전북,2793.0
144,2016,전남,3268.0
145,2016,경북,4085.0
146,2016,경남,4035.0
147,2016,제주,796.0
148,2016,기타,
149,2017,계,74187.0
150,2017,서울,14195.0
151,2017,부산,4647.0
152,2017,대구,3457.0
153,2017,인천,3516.0
154,2017,광주,1777.0
155,2017,대전,1921.0
156,2017,울산,1463.0
157,2017,세종,303.0
158,2017,경기,17247.0
159,2017,강원,2457.0
160,2017,충북,2518.0
161,2017,충남,3564.0
162,2017,전북,3147.0
163,2017,전남,3666.0
164,2017,경북,4770.0
165,2017,경남,4632.0
166,2017,제주,907.0
167,2018,계,84099.0
168,2018,서울,16028.0
169,2018,부산,5280.0
170,2018,대구,3895.0
171,2018,인천,3994.0
172,2018,광주,2009.0
173,2018,대전,2160.0
174,2018,울산,1652.0
175,2018,세종,353.0
176,2018,경기,19960.0
177,2018,강원,2800.0
178,2018,충북,2843.0
179,2018,충남,3992.0
180,2018,전북,3562.0
181,2018,전남,4043.0
182,2018,경북,5271.0
183,2018,경남,5230.0
184,2018,제주,1027.0
185,2018,기타,
186,2019,계,93879.0
187,2019,서울,17872.0
188,2019,부산,5936.0
189,2019,대구,4325.0
190,2019,인천,4469.0
191,2019,광주,2191.0
192,2019,대전,2386.0
193,2019,울산,1852.0
194,2019,세종,428.0
195,2019,경기,22648.0
196,2019,강원,3169.0
197,2019,충북,3075.0
198,2019,충남,4384.0
199,2019,전북,3887.0
200,2019,전남,4429.0
201,2019,경북,5839.0
