,기간,지역,미세먼지
0,2015,서울,25
1,2015,부산,27
2,2015,대구,33
3,2015,인천,31
4,2015,광주,27
5,2015,대전,34
6,2015,울산,27
7,2015,경기,30
8,2015,강원,36
9,2015,전남,28
10,2015,경남,26
11,2015,서울,30
12,2015,부산,31
13,2015,대구,33
14,2015,인천,33
15,2015,광주,33
16,2015,대전,36
17,2015,울산,32
18,2015,경기,36
19,2015,강원,38
20,2015,전남,30
21,2015,경남,31
22,2015,서울,30
23,2015,부산,27
24,2015,대구,29
25,2015,인천,31
26,2015,광주,35
27,2015,대전,37
28,2015,울산,29
29,2015,경기,34
30,2015,강원,35
31,2015,전남,30
32,2015,경남,29
33,2015,서울,21
34,2015,부산,24
35,2015,대구,22
36,2015,인천,30
37,2015,광주,24
38,2015,대전,23
39,2015,울산,25
40,2015,경기,24
41,2015,강원,23
42,2015,전남,22
43,2015,경남,23
44,2015,서울,22
45,2015,부산,31
46,2015,대구,25
47,2015,인천,28
48,2015,광주,24
49,2015,대전,29
50,2015,울산,31
51,2015,경기,23
52,2015,강원,26
53,2015,전북,36
54,2015,전남,23
55,2015,경남,28
56,2015,서울,20
57,2015,부산,30
58,2015,대구,28
59,2015,인천,26
60,2015,광주,27
61,2015,대전,27
62,2015,울산,30
63,2015,경기,21
64,2015,강원,21
65,2015,전북,39
66,2015,전남,27
67,2015,경남,30
68,2015,서울,19
69,2015,부산,21
70,2015,대구,20
71,2015,인천,23
72,2015,광주,22
73,2015,대전,19
74,2015,울산,22
75,2015,경기,19
76,2015,강원,18
77,2015,전북,28
78,2015,전남,22
79,2015,경남,24
80,2015,서울,22
81,2015,부산,23
82,2015,대구,22
83,2015,인천,27
84,2015,광주,22
85,2015,대전,20
86,2015,울산,24
87,2015,경기,21
88,2015,강원,21
89,2015,전북,26
90,2015,전남,23
91,2015,경남,25
92,2015,서울,16
93,2015,부산,16
94,2015,대구,15
95,2015,인천,21
96,2015,광주,16
97,2015,대전,18
98,2015,울산,13
99,2015,경기,17
100,2015,강원,14
101,2015,전북,23
102,2015,전남,18
103,2015,경남,18
104,2015,서울,24
105,2015,부산,25
106,2015,대구,25
107,2015,인천,31
108,2015,광주,30
109,2015,대전,33
110,2015,울산,22
111,2015,경기,26
112,2015,강원,25
113,2015,전북,41
114,2015,전남,28
115,2015,경남,24
116,2015,서울,21
117,2015,부산,23
118,2015,대구,22
119,2015,인천,31
120,2015,광주,25
121,2015,대전,30
