순위,영화명,개봉일,매출액 ,매출액 점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1013,폼페이 최후의 날,1976-01-31,"5,262,000",0.0%,"12,889,000","2,626","6,399",1,31,이탈리아,"이탈리아,스페인,서독",,,,드라마,마리오 보나드,"크리스틴 카우프먼,스티브 리브스"
1014,뮤즈 드론즈 월드투어 실황,2018-07-12,"36,537,500",0.0%,"36,537,500","2,613","2,613",32,64,영국,영국,,에스디시코리아 주식회사,12세이상관람가,공연,톰 커크,
1015,스잔나,1981-07-17,"5,257,000",0.0%,"8,102,000","2,606","4,006",1,58,홍콩,홍콩,쇼 브라더스,,연소자관람가,"드라마,멜로/로맨스",하몽화,리칭
1016,누구를 위하여 종은 울리나,1972-03-18,"5,205,000",0.0%,"32,689,586","2,600","18,086",1,28,미국,미국,파라마운트 픽쳐스,,미정,"드라마,멜로/로맨스,전쟁",샘 우드,"잉그리드 버그만,게리 쿠퍼"
1017,황금연못,,"5,172,000",0.0%,"6,729,000","2,576","2,904",1,48,미국,미국,,,,드라마,마크 라이델,"헨리 폰다,캐서린 헵번,제인 폰다"
1018,돌아와요 내 사랑,,"5,148,000",0.0%,"5,148,000","2,574","2,574",1,58,미국,미국,,,,"멜로/로맨스,코미디",스탠리 도넌,"율 브린너,케이 켄달"
1019,천지창조 / 더 바이블,1986-03-01,"5,161,000",0.0%,"5,161,000","2,573","2,573",1,32,미국,미국,이십세기폭스필름코퍼레이션,,연소자관람가,드라마,존 휴스턴,"존 휴스턴,리차드 해리스"
1020,이프 온리,2004-10-29,"17,743,800",0.0%,"6,815,656,200","2,571","1,021,632",9,100,미국,미국,"인터미디어필름,아웃로 프로덕션즈,테이피스트리 필름","유니코리아문예투자(주),CJ ENM",15세관람가,"코미디,드라마,판타지,멜로/로맨스",길 정거,"제니퍼 러브 휴잇,폴 니콜스"
1021,내 나이가 어때서,,"5,132,000",0.0%,"5,132,000","2,558","2,558",2,50,한국,한국,,,12세이상관람가,멜로/로맨스,한명구,"오안진,오상철,오대천"
1022,500일의 썸머,2010-01-21,"18,570,100",0.0%,"2,290,751,400","2,545","288,653",6,115,미국,미국,스네이크 프리뷰,"(주)스튜디오디에이치엘,(주)팝엔터테인먼트,이십세기폭스코리아(주)",15세이상관람가,"드라마,멜로/로맨스",마크 웹,"조셉 고든 레빗,주이 데샤넬,제프리 아렌드,클로이 모레츠"
1023,지상 최대의 작전,,"5,077,000",0.0%,"17,467,000","2,543","8,535",1,27,,,,,,,,
1024,아라비아의 로렌스,1998-10-24,"6,414,500",0.0%,"25,577,500","2,534","10,850",1,31,영국,영국,콜럼비아 픽쳐스 코포레이션,,12세 미만인 자는 관람할 수 없는 등급,드라마,데이빗 린,"피터 오툴,알렉 기네스,앤소니 퀸"
1025,우키시마호,2019-09-19,"20,983,940",0.0%,"20,983,940","2,529","2,529",65,460,한국,한국,(주)영화사메이플러스,"(주)영화사메이플러스,주식회사 마운틴픽쳐스",전체관람가,다큐멘터리,김진홍,"안재모,박지선,원서영,김가현,정신영,장영도,전재진,한영용,전승렬,김문길,왕청일,윤도심,이화조,서성균,김태형,양하율,박지호,김라진,한다연,손지한,한서연,김아연,문수아,김리나,박민유,고민지,김경정,현채빈,이다경,전혜진,이소민,이지수,강민하,조민성,손다영,김하은,유나은,장시우,곽민승,김보미,김유정,김태형,박진후,박채은,박민유,안소예,오미선,이수현,최효은,김용권,박수빈,윤율,서하엘,임수혁,권아현,강민하,김나진,한다연,김혁진,손지한,유나은,한근섭,고태식,황옥선,김성규,박진식,김성규,박규민,안성복,조동선,조동선,오세민,오세민,정진환,정진환,이예찬,정송성,김무영,김무영,이재평,이재평,양수연,양수연,관재련,유다경,유다경,이진원,안우진,양승호,박진석,이진광,안성복,권선엽,이예찬,정종성,곽재련,이은주,임효진,박영복,오진석,고류원,권정우"
1025,투 로드 투게더,,"5,058,000",0.0%,"5,370,000","2,529","2,595",1,37,미국,미국,,,,서부극(웨스턴),존 포드,제임스 스튜어트
1027,라 보엠,,"56,048,500",0.0%,"56,048,500","2,512","2,512",11,163,미국,미국,,,,공연,,
1028,하나식당,2018-11-22,"21,398,450",0.0%,"21,398,450","2,505","2,505",40,282,한국,한국,에이케이엔터테인먼트(주),(주)영화사오원,12세이상관람가,드라마,최낙희,"최정원,나혜미,오승현,유현"
1029,도요새,,"5,007,000",0.0%,"5,007,000","2,483","2,483",1,48,미국,미국,,,,멜로/로맨스,빈센트 미넬리,"엘리자베스 테일러,리차드 버튼"
1029,오명,,"22,100,600",0.0%,"30,177,600","2,483","6,208",5,76,미국,미국,,,15세관람가,"멜로/로맨스,스릴러",알프레드 히치콕,"캐리 그랜트,잉그리드 버그만"
1031,마틸다: 황제의 연인,2018-11-08,"20,282,650",0.0%,"20,282,650","2,471","2,471",26,241,러시아,러시아,,(주)영화사오원,15세이상관람가,드라마,알렉세이 유치텔,
1032,왕중왕,,"4,917,000",0.0%,"20,651,000","2,457","10,177",1,42,미국,미국,,,,드라마,니콜라스 레이,"제프리 헌터,시오반 맥켄나"
1033,뷰티풀 보이스,2019-05-22,"21,492,600",0.0%,"21,492,600","2,439","2,439",67,419,한국,한국,(주)그래그거,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",전체관람가,코미디,김선웅,"박호산,이이경,문지인,김정팔,배유람,연제욱,양조아,배다빈,정보람,곽도영,고민석,고동하,이병민,차보경,최유솔,김양배,희웅,정성완,김인,이주원,홍범석,주예림,이승민"
1034,22,2018-08-14,"18,668,000",0.0%,"18,685,500","2,434","2,438",31,315,한국,"한국,중국",(주)아시아홈 엔터테인먼트,플러스엠 엔터테인먼트,전체관람가,다큐멘터리,궈커,"박차순,린아이란,리메이진"
1035,텔 잇 투 더 비즈,2019-10-31,"21,144,480",0.0%,"21,144,480","2,433","2,433",22,247,영국,영국,,(주)라이크콘텐츠,15세이상관람가,드라마,아나벨 얀켈,"안나 파킨,홀리데이 그레인저"
1036,우리는 썰매를 탄다,2018-03-07,"18,391,900",0.0%,"18,391,900","2,432","2,432",58,428,한국,한국,태흥영화(주),(주)콘텐츠 난다긴다,전체관람가,다큐멘터리,김경만,"정승환,이종경,한민수,유만균,박상현,김정호,박상현,이영민,장종호,정승환,정영훈"
1037,12번째 솔저,2019-04-11,"17,777,000",0.0%,"17,777,000","2,427","2,427",44,362,노르웨이,노르웨이,,(주)엣나인필름,12세이상관람가,전쟁,해럴드 즈워트,조나단 리스 마이어스
1038,아빠는 예쁘다,2019-11-21,"20,071,980",0.0%,"20,071,980","2,410","2,410",29,195,한국,한국,"(주)유비콘텐츠,영화사공감",(주)영화사오원,15세이상관람가,"가족,코미디","김승협,박수민","김명국,백서빈,손민지,진선미,배진만,양성우,김하영,김준섭,박준성,이정비,김종인,유성훈,권철,허동원,박준호,허종오,이영순,이다혜,윤지연,조영은,백용재,이유리,황시영,차민철,이슬,한예지,배지현,이재화,정애경,박용오,김수정,이재화,박정호,박정현,이해리,김별아,이승후,이은석,신성우,차봄,김수정,이상엽,이재화,강상묵,이승후,이승주,송민정,이영순,한영수,조수현,이예림,김효찬,김수정,박정현,이재화,이은석,김수정,구숙이,구재학,구태술,김석분,김묘순,전원비,김훈민,이슬기,최재서,윤지혜,이혜림,박용오,이상엽,이재화,이지훈,우명은,송길순,이의진,이춘우,최인헌,정성일,김지수,김상길,박수현,구민서,김민지,김가인,전용기,정욱태,김형준,황수현,안명후,서부경,신서영,김효찬,강상묵,이승후,유기훈,서요한,황지선,최보경,장유호,임서은,윤지혜,전원비,이승주,송민정,조수현,박재서,이유리,최현석,황시영,곽가현,이해리,조기원,이혜빈,윤배희,김훈민,기진석,조영은,정인제,이지훈,김수정,배소현,김별아,김동휘,이재화,박치연,문가영,이진주,김태성,임도훈,김태완,지준혁,박희송,이정은,황지혜,강정수,오은서,신지연,김지원,백여진,박종상,최경은,정종성,정성희,이수연,권지우,홍현정,강민재,김시진,허수진,유정예,박찬영,이지훈,제연화,박봉일,박지은,김기태,김진태,박수민"
1039,별나라 몰리 몬스터,2018-11-29,"17,796,300",0.0%,"17,796,300","2,395","2,395",63,268,독일,"독일,스웨덴,스위스",,(주)영화사 빅,전체관람가,"애니메이션,어드벤처","마티아스 브런,테드 시저",
1040,개같은 내인생,1989-05-27,"14,838,400",0.0%,"14,838,400","2,390","2,390",6,160,스웨덴,스웨덴,,㈜영화사 백두대간,"연소자관람가,15세이상관람가",드라마,라세 할스트룀,"안톤 글란제리우스,토마스 폰 브롬센"
1041,초이스,2018-11-08,"20,286,100",0.0%,"20,286,100","2,380","2,380",62,426,미국,미국,,(주)박수엔터테인먼트,12세이상관람가,"멜로/로맨스,드라마",로스 캐츠,"벤자민 워커,테레사 팔머,톰 윌킨슨"
1042,비브르 사 비,1997-05-03,"18,435,000",0.0%,"23,580,000","2,375","3,110",9,169,프랑스,프랑스,,"알토미디어(주),㈜영화사 백두대간","연소자관람불가,15세이상관람가",드라마,장 뤽 고다르,"안나 카리나,사디 레보트,안드레 S. 라바르트,폴 파벨"
1043,사랑은 오직 한 길,,"4,763,000",0.0%,"4,763,000","2,374","2,374",1,53,프랑스,"프랑스,이탈리아",,,,멜로/로맨스,피에르 가스파 휘,"로미 슈나이더,알랑 드롱"
1044,황야의 귀부인,,"4,747,000",0.0%,"4,747,000","2,372","2,372",1,32,미국,미국,워너 브러더스 픽쳐스,,,서부극(웨스턴),머빈 르로이,"그리어 가슨,다나 앤드류스,카메론 미첼,로이스 스미스"
1045,킬빌,2003-11-21,"19,293,000",0.0%,"275,062,000","2,368","40,810",18,128,미국,미국,,CJ ENM,18세관람가,액션,쿠엔틴 타란티노,"우마 서먼,루시 루"
1046,아가씨(확장판),,"21,793,000",0.0%,"126,017,200","2,353","15,986",12,130,한국,한국,,,청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형"
1047,피아니스트의 전설,2020-01-01,"20,149,000",0.0%,"20,224,000","2,352","2,377",7,16,이탈리아,이탈리아,,(주)라이크콘텐츠,15세관람가,"드라마,판타지,뮤지컬",쥬세페 토르나토레,"팀 로스,프루잇 테일러 빈스,멜라니 티에리"
1048,리틀 포레스트: 사계절,2018-03-22,"18,132,700",0.0%,"18,524,700","2,340","2,396",13,214,일본,일본,,(주)영화사 진진,12세이상관람가,드라마,모리 준이치,"하시모토 아이,마츠오카 마유,미우라 타카히로"
1049,라 트라비아타,2019-07-09,"56,084,650",0.0%,"56,084,650","2,339","2,339",6,91,미국,미국,,(주) 인스터 글로벌,전체관람가,기타,,
1050,영광의 탈출,,"4,584,000",0.0%,"12,904,016","2,334","8,481",1,27,미국,미국,,,,"드라마,전쟁",오토 프레밍거,"폴 뉴먼,에바 마리 세인트"
1051,나는 예수님이 싫다,2019-08-08,"19,571,780",0.0%,"19,571,780","2,325","2,325",22,214,일본,일본,,"(주)싸이더스,(주)삼백상회",전체관람가,드라마,오쿠야마 히로시,"사토 유라,오오쿠마 리키,채드 멀레인"
1052,남자와 여자,2018-05-31,"18,760,700",0.0%,"18,760,700","2,297","2,297",3,41,한국,한국,주식회사 가비안필름스튜디오,(주)영화사 그램,12세이상관람가,드라마,주목,"이상현,고애리,정선철,조혜련,이강진,이상현,이준석,조주현"
1053,누에치던 방,2018-01-31,"18,368,800",0.0%,"20,953,300","2,295","2,702",22,416,한국,한국,"윈드웰러스 필름(주),영화사 잠","서울독립영화제,무브먼트",15세이상관람가,드라마,이완민,"이상희,홍승이,김새벽,이선호,임형국,최진혁,정원,김승현,이주영,윤효진,이동호,이선미,이세진,이수연,이소원,이승훈,이정은,이지윤,김지원,김진구,윤종석,임수현,장일선,전지혜,박종범,정자영,채형식,최동민,최수영,김나현,김경희,최진혁,최태현,최효빈,황지선,김성환,김수정,김연수,김예슬,김병석,김동준,조성훈,최교식"
1054,리스펙트,2018-11-28,"18,974,250",0.0%,"18,974,250","2,279","2,279",41,428,한국,한국,라이브(주),커넥트픽쳐스(주),15세이상관람가,다큐멘터리,심재희,"더 콰이엇,도끼,딥플로우,MC 메타,빈지노,산이,스윙스,제리케이,제이제이케이,타이거 JK,팔로알토,허클베리피,김봉현,김봉현,산이"
1055,굿바이 마이 러브NK: 붉은 청춘,2019-05-02,"16,483,280",0.0%,"16,836,280","2,269","2,320",19,272,한국,한국,822 필름,(주)시네마달,12세이상관람가,다큐멘터리,김소영,"김소영,최국인,김종훈,김중기,김태훈,한지마"
1056,올드보이,2003-11-21,"15,244,500",0.0%,"2,015,428,000","2,268","310,948",24,323,한국,한국,"(주)에그필름,쇼이스트(주)","쇼이스트(주),(주)씨제이이엔엠",18세관람가,스릴러,박찬욱,"최민식,유지태,강혜정,김병옥,오달수,이승신,윤진서,지대한,오태경,유연석,김원중,박재용,박지훈,한정옥,박근석,곽정애,임설아,박성규,오영주,임승용,최재섭,이대연,오광록,김수현,용이,박명신"
1057,하녀,1960-11-03,"15,362,000",0.0%,"38,821,500","2,267","8,709",17,54,한국,한국,김기영프로덕션,,"청소년관람불가,15세이상관람가","멜로/로맨스,스릴러",김기영,"김진규,이은심,주증녀,엄앵란,안성기"
1058,마담 X,,"4,535,000",0.0%,"4,535,000","2,260","2,260",1,45,미국,미국,,,,기타,데이비드 로웰 리치,"라나 터너,존 포사이스"
1059,한나,2018-07-26,"16,323,200",0.0%,"16,323,200","2,253","2,253",16,195,이탈리아,"이탈리아,프랑스,벨기에",,영화사 마농(주),15세이상관람가,드라마,안드레아 팔라오로,"샬롯 램플링,안드레 윔즈"
1060,올드마린보이,2017-11-02,"13,021,500",0.0%,"74,430,300","2,252","10,820",3,31,한국,한국,영화사 님아 주식회사,CGV아트하우스,전체관람가,다큐멘터리,진모영,"박명호,김순희,박철준,박철훈"
1060,재키 브라운,1998-05-16,"18,125,000",0.0%,"18,557,000","2,252","2,396",16,135,미국,미국,미라맥스 필름즈,,18세 미만인 자는 관람할 수 없는 등급,"드라마,범죄,스릴러",쿠엔틴 타란티노,"팜 그리어,사무엘 L. 잭슨,로버트 드 니로"
1062,백주의 결투,,"4,465,000",0.0%,"9,692,000","2,237","4,159",1,35,미국,미국,,,15세관람가,"드라마,멜로/로맨스,서부극(웨스턴)",킹 비더,"그레고리 펙,릴리안 기쉬,허버트 마샬,조셉 코튼,월터 휴스톤,찰스 빅포드,라이오넬 배리모어,제니퍼 존스"
1063,카사블랑카,1999-04-03,"4,510,000",0.0%,"39,901,500","2,233","17,008",1,55,미국,미국,워너브러더스사㈜,워너브러더스 코리아(주),12세 미만인 자는 관람할 수 없는 등급,"드라마,멜로/로맨스,전쟁",마이클 커티즈,"험프리 보가트,잉그리드 버그만,폴 헌레이드"
1064,더 서치,2019-01-17,"17,034,200",0.0%,"17,034,200","2,230","2,230",17,217,프랑스,프랑스,,(주)영화사오원,15세이상관람가,드라마,미셀 하자나비시우스,"베레니스 베조,아네트 베닝"
1065,달빛 아래서,,"4,461,000",0.0%,"4,461,000","2,228","2,228",1,50,미국,미국,,,,드라마,멜빌 샤벨슨,"캐리 그랜트,소피아 로렌"
1066,메이트,2019-01-17,"18,316,150",0.0%,"18,316,150","2,214","2,214",22,322,한국,한국,한국영화아카데미,(주)콘텐츠 난다긴다,15세이상관람가,멜로/로맨스,정대건,"심희섭,정혜성,길해연,전신환,윤소미,송유현,한사명,김인국,박새별,윤상이,유연선,송의환,박희정,김민형,최용혁,한제택,강혁일,배영준,김희중,최재협,임선아,강숙,박수진,박정숙,김기준,신선호,오정민,김선영,김세인,김현석,강원,이상현,정태영,허진,장진혁,홍성은,조성호,이진영,윤태환,조정훈,윤현정,이혜수,이민경,김창환,한지수,정영은,김진황,이현서"
1067,안나 까레니나,,"4,416,000",0.0%,"4,416,000","2,208","2,208",1,25,미국,미국,,,,"드라마,멜로/로맨스",버나드 로즈,"소피 마르소,숀 빈"
1067,에이프릴의 딸,2019-05-09,"17,914,860",0.0%,"17,914,860","2,208","2,208",24,281,멕시코,멕시코,,(주)엣나인필름,청소년관람불가,"미스터리,드라마",미셸 프랑코,"엠마 수아레스,안나 발레리아 베세릴"
1069,소성리,2018-08-16,"14,012,500",0.0%,"14,414,500","2,206","2,266",18,329,한국,한국,오지필름,(주)시네마달,12세이상관람가,다큐멘터리,박배일,"도금연,임순분,김의선,강현욱"
1070,반역자,,"4,410,000",0.0%,"4,410,000","2,205","2,205",1,28,미국,미국,,,,전쟁,,"클라크 게이블,라나 터너"
1070,오늘도 평화로운,2019-04-04,"18,139,060",0.0%,"18,139,060","2,205","2,205",29,364,한국,한국,꾸러기스튜디오,(주)영화사 그램,15세이상관람가,"액션,코미디",백승기,"손이용,민지혁,박지나,감승민,서현민,이해인,이지혜,조근직,박미나,고경호,공자관,류재훈,권민정,김건우,김다연,김도윤,신민구,김민걸,김민걸,김민경,김민정,윤단비,오창경,김성준,윤성원,강민주,정주은,이종환,이상현,이지규,전동범,김수현,김수환,김종원,윤진,이승연,고경표,이교형,고홍진,이기준,구예형,김영덕,권함,최환,차지원,김명직,김필환,류의지,이유진,웁쓰양,위지웅,노시윤,정우성,정광우,박근수,신아리,신예주,최별,이병권,양군,최윤제,엄선영,전민호,전수현,임진혁,백승건,손철민,오지안,하영주,변동욱,한성현,이민수,김성준,권오상"
1072,전쟁과 평화,1977-09-27,"4,297,000",0.0%,"28,275,774","2,175","14,620",1,27,미국,미국,파라마운트 픽쳐스,,연소자관람가,"드라마,멜로/로맨스,전쟁",킹 비더,"오드리 헵번,헨리 폰다,멜 페레,비토리오 가스만"
1073,판타스틱 Mr. 폭스,2009-12-24,"18,962,800",0.0%,"163,547,300","2,167","21,718",8,61,미국,"미국,영국",이십세기폭스필름코퍼레이션,이십세기폭스코리아(주),전체관람가,"애니메이션,코미디,어드벤처,가족",웨스 앤더슨,"조지 클루니,메릴 스트립,빌 머레이,제이슨 슈왈츠먼"
1074,패티코트 작전,,"4,351,000",0.0%,"4,351,000","2,165","2,165",1,44,미국,미국,,,,"코미디,전쟁",블레이크 에드워즈,"캐리 그랜트,토니 커티스"
1075,1720 디네킬렌 해전,,"10,785,000",0.0%,"23,227,000","2,157","8,378",2,9,덴마크,덴마크,,제인앤유,,"코미디,드라마",헨릭 루벤 겐즈,"제이콥 오프테브로,마틴 부크"
1075,트로이의 헤렌,,"4,290,000",0.0%,"10,801,000","2,157","5,429",2,54,미국,미국,워너 브러더스 픽쳐스,,,"사극,전쟁",로버트 와이즈,"로잔나 포에스타,자크 쎄나스,세드릭 하드윅,스탠리 베이커"
1075,파리 오페라,2018-05-17,"16,837,600",0.0%,"16,837,600","2,157","2,157",20,188,프랑스,프랑스,,주식회사 더쿱,전체관람가,다큐멘터리,장-스테판 브롱,"스테판 리스너,필립 조르당,벤자민 마일피드"
1078,러브 오브 시베리아,2000-10-14,"4,343,000",0.0%,"5,058,000","2,154","2,391",1,24,러시아,"러시아,이탈리아,체코,프랑스",,,15세관람가,"멜로/로맨스,드라마,사극",니키타 미할코프,"줄리아 오몬드,리차드 해리스,올렉 멘시코프"
1079,디드씨 도시로가다,,"4,595,000",0.0%,"9,847,000","2,152","4,691",1,34,미국,미국,콜롬비아,,,코미디,프랭크 카프라,"게리 쿠퍼,진 아서"
1080,마더,2009-05-28,"18,104,200",0.0%,"19,989,614,800","2,148","2,981,953",7,90,한국,한국,(주)바른손이앤에이,CJ ENM,청소년관람불가,드라마,봉준호,"김혜자,원빈,진구,윤제문,최재원,전미선,송새벽,천우희,정영기,이미도,유인수,박태준,오원식,이옥주,김홍집,윤혜진,임성미,임근아,김태환,황영희,한지희,남성호,권병길,고규필,박명신,염동헌,김규남,임형국,권범택"
1080,밤치기,2018-11-01,"17,158,450",0.0%,"17,158,450","2,148","2,148",27,451,한국,한국,(주)레진엔터테인먼트,무브먼트,15세이상관람가,멜로/로맨스,정가영,"정가영,박종환,형슬우,김은선"
1082,바이킹,,"4,303,000",0.0%,"20,947,000","2,138","10,414",1,46,미국,미국,,,,기타,리차드 플레이셔,"어네스트 보그나인,토니 커티스,커크 더글라스"
1082,여배우들의 티타임,2019-10-10,"17,212,160",0.0%,"17,212,160","2,138","2,138",22,316,영국,영국,,(주)영화사오원,12세이상관람가,다큐멘터리,로저 미첼,"주디 덴치,매기 스미스,에일린 앳킨스,조안 플로라이트"
1084,고성의 검호,,"4,277,000",0.0%,"4,277,000","2,136","2,136",1,35,미국,미국,메트로-골드윈-마이어,,,"액션,어드벤처,사극",리처드 소프,
1085,걸어도 걸어도,2009-06-18,"17,951,700",0.0%,"257,512,800","2,134","34,769",8,73,일본,일본,,(주)영화사 진진,전체관람가,"드라마,가족",고레에다 히로카즈,"나츠카와 유이,요우,하야기 료가,하라다 요시오,아베 히로시"
1085,사랑의 비약,,"4,283,000",0.0%,"4,283,000","2,134","2,134",1,32,미국,미국,,,,"코미디,멜로/로맨스,판타지",리차드 퀴니,"제임스 스튜어트,킴 노박,잭 레먼"
1085,얼굴들,2019-01-24,"15,662,000",0.0%,"16,788,000","2,134","2,297",19,389,한국,한국,(주)시네마달,(주)시네마달,12세이상관람가,드라마,이강현,"박종환,김새벽,백수장,윤종석,남경우,김기준,박찬호,박현지,백길찬,변진수,신치영,김민성,김민성,유민아,오영림,옥자연,김은희,이주원,정태훈,허석,허영진,정효정,김정남,조민기,김종수,오지영,황영수,김종일,이진혁,황정한,강기만,지성은,최청자,권성일,권영호,길아성,김계형,김영선,이영민,이영석,이완민,이운식,이호재,김화중,류제승,우이경,주홍성,이윤재,한해인,유채은,최높은샘,박부건,박승호,이하진,이현욱,최유송,양찬주,어원준,여귀순,전소현,박영복,오태은,신이수,송지원,홍재협,홍석연,최요운,김송일,조하성,왕혜지"
1088,아프리카의 여왕,,"4,254,000",0.0%,"14,665,000","2,133","7,114",1,34,미국,미국,,,,"어드벤처,멜로/로맨스",존 휴스턴,"험프리 보가트,캐서린 헵번"
1089,자랑과 정열,,"4,238,000",0.0%,"11,655,000","2,119","5,454",1,37,미국,미국,,,,"액션,드라마,어드벤처",스탠리 크래이머,"캐리 그랜트,프랭크 시내트라"
1089,카쓰므,,"4,243,000",0.0%,"4,838,000","2,119","2,316",1,35,영국,"영국,미국",,,,"드라마,전쟁",바실 디어든,"찰톤 헤스톤,로렌스 올리비에"
1091,이태원,2019-12-05,"17,154,760",0.0%,"18,595,260","2,115","2,371",15,262,한국,한국,영희야 놀자,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),15세이상관람가,다큐멘터리,강유가람,"삼숙,나키,영화,장재민,김연석,이영동,안보살"
1092,설국열차,2013-08-01,"14,472,000",0.0%,"67,026,842,200","2,110","9,352,448",47,479,한국,"한국,체코","(주)모호필름,오퍼스픽쳐스(유)",(주)씨제이이엔엠,15세이상관람가,"SF,액션",봉준호,"크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,옥타비아 스펜서,이완 브렘너,고아성,알리슨 필,허찬"
1093,클레오파트라,,"4,200,000",0.0%,"19,610,000","2,100","9,192",2,24,미국,"미국,영국,스위스",,,,드라마,조셉 L. 맨키위즈,"엘리자베스 테일러,리차드 버튼"
1094,식물도감,2018-06-21,"17,396,900",0.0%,"17,396,900","2,096","2,096",48,388,일본,일본,,(주)라이크콘텐츠,12세이상관람가,멜로/로맨스,미키 코이치로,"이와타 타카노리,타카하타 미츠키"
1095,"나, 다니엘 블레이크",2016-12-08,"14,152,460",0.0%,"740,864,460","2,093","98,805",3,49,영국,영국,,(주)영화사 진진,12세이상관람가,드라마,켄 로치,데이브 존스
1095,이창,,"6,431,000",0.0%,"27,623,500","2,093","6,079",3,61,미국,미국,파라마운트 픽쳐스,(주)영화사 안다미로,,"드라마,범죄,미스터리,스릴러",알프레드 히치콕,
1097,나미야 잡화점의 기적: 또 하나의 이야기,2018-11-08,"16,005,350",0.0%,"16,005,350","2,092","2,092",47,402,중국,중국,,윤스,12세이상관람가,"판타지,드라마",한 지에,
1098,리브 어게인,2018-04-26,"16,028,000",0.0%,"16,534,000","2,090","2,150",20,272,미국,미국,,그린나래미디어(주),15세이상관람가,"코미디,드라마",로버트 에드워즈,"크리스토퍼 월켄,앰버 허드"
1099,신세계,2013-02-21,"11,642,700",0.0%,"34,892,973,605","2,079","4,684,571",22,136,한국,한국,"(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이",(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,"범죄,액션",박훈정,"이정재,최민식,황정민,박성웅,송지효,정영기,이경영,정군,정민욱,정종화,최봉록,권지훈,한동욱,한재덕,허명행,남경민,신수정,연영식,김병옥,김홍파,장광,정재헌,김윤성,최일화,리우진,박인수,권태원,정민성,류성현,곽진석,김서원"
1100,히에로니무스 보쉬의 기이한 세계,2018-01-18,"22,333,000",0.0%,"22,333,000","2,078","2,078",23,273,영국,영국,,메가박스중앙(주),전체관람가,,데이비드 비커스태프,
1101,반도에 살어리랏다,2018-01-25,"15,274,500",0.0%,"15,274,500","2,073","2,073",14,223,한국,한국,스튜디오 수집,"애니메이션 배급, 씨앗",15세이상관람가,"애니메이션,코미디",이용선,"이승행,오가빈,이용우,박진영,강예솔,이승훈,이슬,이슬,이슬,이승훈,이승훈,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이유진,이유진,박지현,박진영,박진영,박진영,김나영,김나영,김나영,김나영,김나영,김나영,김민성,강성우"
1102,백야,1986-09-13,"4,182,000",0.0%,"4,182,000","2,071","2,071",1,40,미국,미국,콜럼비아 픽쳐스 코포레이션,,국민학생관람불가,드라마,테일러 핵포드,"이사벨라 로셀리니,미하일 바리시니코프"
1103,크리미널 게임: 보석 사기단,2019-01-23,"16,964,760",0.0%,"16,964,760","2,065","2,065",92,637,캐나다,캐나다,,와이드 릴리즈(주),청소년관람불가,"범죄,액션",제임스 오클레이,"우마 서먼,팀 로스"
1104,코만체로스,,"4,128,000",0.0%,"8,282,000","2,064","3,944",1,46,미국,미국,,,,"액션,서부극(웨스턴)",마이클 커티즈,"존 웨인,스튜어트 휘트먼"
1105,브레이븐,2018-09-13,"16,147,600",0.0%,"16,147,600","2,063","2,063",56,509,캐나다,캐나다,,글뫼 주식회사,15세이상관람가,"액션,드라마",린 오딩,"제이슨 모모아,스티븐 랭,가렛 딜라헌트"
1106,인피니티 포스 : 독수리오형제 최후의 심판,2018-10-18,"15,653,800",0.0%,"15,653,800","2,059","2,059",124,432,일본,일본,,와이드 릴리즈(주),전체관람가,애니메이션,마츠모토 준,"박상우,신정훈,오현기,허성재,조연우,방지원,오은수"
1107,남의 것이 더 좋아,,"4,141,000",0.0%,"4,141,000","2,058","2,058",1,43,영국,영국,,,,기타,스탠리 도넌,"캐리 그랜트,데보라 카"
1108,몬테크리스토,2019-11-14,"26,167,000",0.0%,"26,167,000","2,056","2,056",14,150,한국,한국,(주)비프로,(주)비프로,12세이상관람가,"뮤지컬,공연",이동원,
1109,헬 페스트,2018-12-13,"16,378,800",0.0%,"16,378,800","2,047","2,047",82,533,미국,미국,,(주)삼백상회,15세이상관람가,공포(호러),그레고리 플로킨,"에이미 포사이스,레인 에드워즈,로비 아탈"
1110,파파 오랑후탄,2018-04-19,"15,213,000",0.0%,"15,385,000","2,044","2,073",3,95,한국,한국,시네마미션,파이오니아21,12세이상관람가,다큐멘터리,이성관,"염광호,김수연,차세환,최기문"
1111,토스카,2018-05-05,"48,023,000",0.0%,"48,023,000","2,035","2,035",11,155,미국,미국,,(주) 인스터 글로벌,12세이상관람가,공연,,
