순위,영화명,개봉일,매출액 ,매출액 점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
47,지금 만나러 갑니다,2018-03-14,"20,800,916,128",0.6%,"20,800,916,128","2,602,273","2,602,273","1,191","97,482",한국,한국,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스,이장훈,"소지섭,손예진,김지환,고창석,이유진,김현수,배유람,이준혁,서정연,손여은,이진,이상철,이재환,이정민,변지은,김지민,송지연,이준성,김지호,김하은,유은성,박서준,정유민,정현우,차봉주,김경애,김선웅,김범준,공효진,김민석"
48,증인,2019-02-13,"20,482,789,331",0.5%,"20,482,789,331","2,534,748","2,534,748","1,047","89,564",한국,한국,"(주)무비락,(주)도서관옆스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,이한,"정우성,김향기,이규형,염혜란,장영남,정원중,김종수,박근형,송윤아,이준혁,이레,김승욱,오재세,이채은,이서준,이서환,강민지,강지현,박세정,권혁준,김경훈,박재환,박주은,박준호,박찬영,송우용,김미진,안성봉,신치영,신혜정,김범석,오창경,김소연,김수경,이준형,장효석,김정연,김호연,조성재,김홍식,최은영,최종률,정도원,정명훈,조한나,이승헌,강은수,고민지,곽나현,권정은,김규인,김난영,표예리,김바비,이동훈,김학선,이영아,김승윤,이민정,조복휘,김인규,김준원,정승욱,도현,김형묵,정영록,남혜진,김태현,정우성,문승배,정경현,이은샘,채치웅,윤정환,박미정,이종익,최문익,심은정,이석환,박윤근,박은우,엄주원,박창화,엄혜란,배내희,손제형,추귀정,염지영,장부익,장선아,서광재,한윤지,한재경,이슬이"
49,시동,2019-12-18,"21,236,477,800",0.6%,"21,236,477,800","2,525,986","2,525,986","1,515","58,603",한국,한국,(주)외유내강,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,최정열,"마동석,박정민,정해인,염정아,최성은,김종수,이해운,성혁,손석배,홍인,이수빈,방은정,허준석,김미화,조재영,김대곤,강덕중,박성일,백주희,김자영,윤경호,고두심,김경덕,김민재,박해준,류성현,권혁범,정의욱,유수빈,조대희,차우진,조한준,이태형,승의열,류제승,임성재,김원목,곽수정,이문석,정병두,서문호,강태수,박원준,이육헌,김시원,김통령,하재열,최현종,임동민,김기태,선율우,오재세,우광제,이한결,정상균,정운,최홍락,선우,강윤혜,김보람,김해정,민서희,전경석,김주아,박혜영"
50,목격자,2018-08-15,"21,737,061,097",0.6%,"21,737,061,097","2,524,720","2,524,720","1,021","71,403",한국,한국,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,조규장,"이성민,김상호,진경,곽시양,이동희,김재철,이재남,이재우,이태호,이혜민,정택호,조아라,황인범,김자영,김수영,김상호,박지후,우상기,황영희,정재광,박성근,이민웅,최정인,이장유,정유민"
51,블랙머니,2019-11-13,"20,863,134,010",0.6%,"20,863,134,010","2,478,964","2,478,964","1,141","77,469",한국,한국,"유한회사 질라라비,(주)아우라픽처스",(주)에이스메이커무비웍스,12세이상관람가,"범죄,드라마",정지영,"조진웅,이하늬,이경영,강신일,최덕문,조한철,허성태,강도연,정인기,윤진영,박영빈,최정현,엄지만,천재홍,김태향,고인배,권반석,김곤,김산,김강훈,김누리,김대근,김동규,김동인,김서하,김선희,김윤도,김재록,김종언,김종태,김주아,김진구,김진래,김형석,김형진,김호연,나연수,남명렬,남문철,노성후,노진원,류승수,문성근,문정웅,박민관,박상혁,박승일,박응수,박재완,박종범,박종희,박주미,박지현,박희진,배장수,백예현,백옥균,변동욱,서현철,서호철,선학,성병숙,송동환,송현기,신동진,신영진,엄지만,오상준,오진호,우상희,우수빈,유광수,유민주,유태오,윤병희,윤영식,윤진영,천성우,이가경,이가경,이광연,이나라,최정현,최준혁,최지연,이성민,이승훈,이시우,한갑수,한담희,이예영,이용재,한수호,이은정,허성태,이재용,이종호,이진영,황윤호,이진혁,이태형,임영혜,임정민,조정환,임채선,조한철,조형일,조혜인,장래군,진시원,장원진,정재원,전시아,정민규,정민성,정인기,정의욱,권소현,이종운"
52,조선명탐정: 흡혈괴마의 비밀,2018-02-08,"19,822,789,764",0.5%,"19,822,789,764","2,444,136","2,444,136","1,249","74,953",한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"사극,어드벤처,코미디",김석윤,"김명민,오달수,김지원,김범,이민기,지웅배,이대현,이소희,이재웅,백승진,이정민,김정화,서지은,김탁호,김태윤,김태희,김현주,류현상,민성주,박동석,전건익,전현우,박지선,김태호,박지현,김건,최유진,김미란,김상일,김영우,김영진,한성희,염동헌,송훈,강덕중,조한준,윤상훈,장유화,현우"
53,신비한 동물들과 그린델왈드의 범죄,2018-11-14,"20,817,381,118",0.6%,"20,817,381,118","2,414,195","2,414,195","1,601","76,847",미국,미국,,워너브러더스 코리아(주),12세이상관람가,판타지,데이빗 예이츠,"에디 레드메인,캐서린 워터스턴,앨리슨 수돌,댄 포글러,에즈라 밀러,주드 로,조니 뎁,칼럼 터너,조 크라비츠,수현"
54,터미네이터: 다크 페이트,2019-10-30,"20,153,895,830",0.5%,"20,153,895,830","2,409,062","2,409,062","1,315","81,336",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,"액션,어드벤처,SF",팀 밀러,"맥켄지 데이비스,아놀드 슈왈제네거,린다 해밀턴,나탈리아 레이즈,가브리엘 루나"
55,사바하,2019-02-20,"20,007,508,194",0.5%,"20,007,508,194","2,398,519","2,398,519","1,174","78,096",한국,한국,"(주)외유내강,(주)필름케이",(주)씨제이이엔엠,15세이상관람가,"미스터리,스릴러",장재현,"이정재,박정민,이재인,유지태,정진영,진선규,이다윗,배해선,차래형,황정민,김근영,윤경호,지승현,이항나,정동환,문창길,오윤홍,문숙,강나영,김두은,김유린,김지후,조수지,신보경,정병두,이재순,배선엽,곽영신,유승희,장지민,정혜은,강우진,윤창희,김근우,이치민,하승협,권해성,손병우,박상현,김찬빈,한유한,이월진,박재만,박영래,이광석,한형주,류현주,손연서,유선이,강민재,남도현,강성철,강지현,류경인,권귀빈,박수미,권오준,민설애,김가은,김금순,박종범,설시연,박지윤,박지환,박진영,박훈,김명희,백승철,신유진,안성진,안현빈,김범수,오누리,노유림,옥영진,옥주리,김소숙,강민지,임현주,이상우,정재은,임효진,김현정,이주실,허다정,이준구,정한호,장영애,권태호,김홍파,김정훈,조한준,이문석,이수정,김승현,황인준,정미경,조한아름,이건창,김지수,진선규,정서인,차순배,권해성,이대현,김진옥,표성수,표예리,한다경,이한울,이한울,김태윤,이은주,김유나,이재진,장희욱,박지윤,박규범"
56,메이즈 러너: 데스 큐어,2018-01-17,"18,902,873,104",0.5%,"18,902,873,104","2,299,732","2,299,732","1,090","58,918",미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍"
57,맘마미아!2,2018-08-08,"19,609,112,503",0.5%,"19,609,112,503","2,294,087","2,294,087",750,"59,067",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,뮤지컬,올 파커,"아만다 사이프리드,릴리 제임스,메릴 스트립,피어스 브로스넌,제레미 어바인,콜린 퍼스,휴 스키너,스텔란 스카스가드,조쉬 딜란,줄리 월터스,알렉사 데이비스,크리스틴 바란스키,제시카 키나 윈,도미닉 쿠퍼,셰어,앤디 가르시아"
58,레디 플레이어 원,2018-03-28,"19,933,108,071",0.5%,"19,933,108,071","2,254,430","2,254,430","1,079","77,173",미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF,어드벤처",스티븐 스필버그,"마크 라이런스,사이먼 페그,올리비아 쿡,타이 쉐리던,벤 멘델슨,T.J. 밀러,모리사키 윈"
59,타짜: 원 아이드 잭,2019-09-11,"19,687,029,214",0.5%,"19,687,029,214","2,229,239","2,229,239","1,429","66,479",한국,한국,"(주)싸이더스,(주)엠씨엠씨,(주)비에이엔터테인먼트",롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,"범죄,드라마",권오광,"박정민,류승범,최유화,우현,윤제문,이광수,임지연,권해효,이창훈,오동민,장준휘,오혜원,여이레,이홍내,이상희,김예은,신문성,이윤상,유정호,남진복,박혁민,황재열,최원,임현성,서정연,이지훈,현봉식,최재현,오동민,김창환,오봄길,박경근,김형묵,유정호,김태준,유상훈,이택근,오경민,김철환,박규선,진모,류효정,오누리,박무영,이규호,지희제,박상규,김세인,홍주형,한동원,현오봉,이홍내,황재열,백예현,박지한,서승교,신민서,김종숙,권혁준,오태은,최남욱,김남훈,최현수,김준희,김성강,이무녕,남승화,박대성,윤영걸,황재명,이장원,이명엽,이정훈,차시연,노승은,김대한,곽기훈,고주선,서윤하,김진옥,김영희,김윤숙,김유영,최희영,정유준,김혜지,김성수,김태현,안상은,정세희,이시안,지수,안소미,김이슬,라일라,태지우,장규미,최윤빈,조기태,김창조,윤종인,노진영,방태현,임효진,김광수,원탐슬,김정남,이경수,김민광,박동훈,김주승,최명빈,홍예서,김희원,배유람,최재환,이창희,주진모,최동훈,김인애,박지은,윤금선아"
60,신의 한 수: 귀수편,2019-11-07,"18,463,776,050",0.5%,"18,463,776,050","2,157,437","2,157,437","1,246","82,178",한국,한국,"(주)메이스엔터테인먼트,(주)아지트필름",(주)씨제이이엔엠,15세이상관람가,"범죄,액션",리건,"권상우,김희원,김성균,허성태,우도환,원현준,홍기준,박상훈,이서환,선율우,김상호,이홍내,박영빈,정인겸,조운,신수연,김정팔,이정아,주서은,이규호,윤기현,이지석,우수빈,김대진,김곤,김지수,정재원,박응수,송영탁,박응준,오승찬,김산,한태일,홍윤재,김태현,김선동,권윤구,김문학,강정혁,양현태,남경화,박종희,이용재,노성후,박민수,이영서,차성제,배하은,곽진,최준영,박재완,곽민준,임채선,임정민,김윤수,김광일,김효영,김선웅,김종원,김용기,김재하,김경태,김시호,김신범,김용준,김민교,권용희,남상원,노현우,류승주,문정기,박희진,박근영,박정규,박영서,송현기,송동환,이진하,이찬재,이진혁,이희규,이규한,이시언,이민영,이중규,이효,이유진,이성현,윤정섭,이시운,오윤석,이예림,이다혜,이동휘,유선호,조석희,조원빈,조규호,전재현,장이슬,정민혁,차중원,최성식,한지윤,한서준,하수진,황은지,한도진,한태희,황춘하,고세원,유선,이병준,박경혜"
61,명당,2018-09-19,"17,900,775,524",0.5%,"17,900,775,524","2,087,474","2,087,474","1,117","58,450",한국,한국,(주)주피터필름,플러스엠 엔터테인먼트,12세이상관람가,사극,박희곤,"조승우,송영재,지성,김성균,백윤식,문채원,유재명,박충선,이원근,김민재,강태오,이가희,이규섭,이동희,이세희,이수아,이성훈,이유리,이정현,김준영,이주연,이창석,김진혁,안성봉,김하림,박기태,임지은,정재용,정재헌,박지현,정한길,정혜경,조성환,최선호,김규선,김도연,김동규,김동현,최우석,홍은진,홍준호,김선문,김서현,김서연,김기태,허성태,전신환,손성찬,홍완표,정종열,심희섭,이육헌,이종윤,백인권,배진호,조현식,이정민,이정빈,이승철"
